                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                0.90256,                0.99321,                 1.2411,                 0.5026,                0.32405,                0.34542,                 0.2515,                 1.2199,                  1.135,                 1.3956,             0.00017403,             0.00017403,             0.00017403
                     13,                0.89284,                0.95471,                 1.2305,                0.52383,                0.30669,                0.32064,                0.22578,                 1.2604,                 1.1756,                 1.4382,             0.00016974,             0.00016974,             0.00016974
                     14,                0.88145,                0.94628,                  1.231,                0.56377,                0.29714,                 0.3464,                0.25445,                  1.187,                 1.1208,                 1.3721,             0.00016544,             0.00016544,             0.00016544
                     15,                0.88464,                0.91777,                 1.2266,                0.47533,                0.34544,                0.37137,                0.26631,                 1.2075,                 1.0704,                 1.3808,             0.00016114,             0.00016114,             0.00016114
                     16,                0.88316,                0.90398,                 1.2278,                 0.6009,                0.32358,                0.38471,                0.28203,                 1.1978,                  1.086,                 1.4067,             0.00015685,             0.00015685,             0.00015685
                     17,                0.86615,                0.86928,                  1.214,                0.53537,                0.32951,                0.34414,                0.25286,                 1.2037,                 1.1117,                 1.4029,             0.00015255,             0.00015255,             0.00015255
                     18,                0.85959,                0.83995,                 1.2085,                 0.4832,                0.33356,                0.36544,                0.26546,                 1.1998,                 1.0748,                 1.3754,             0.00014825,             0.00014825,             0.00014825
                     19,                0.85031,                0.82693,                 1.2034,                0.36529,                0.36046,                0.34246,                0.25146,                 1.1876,                   1.09,                 1.3749,             0.00014396,             0.00014396,             0.00014396
                     20,                 0.8497,                0.81399,                 1.2011,                0.32356,                0.35641,                 0.3656,                0.27001,                 1.1998,                 1.1168,                 1.3978,             0.00013966,             0.00013966,             0.00013966
                     21,                0.84064,                0.79173,                 1.1946,                0.58925,                 0.3099,                0.34644,                0.25157,                 1.2269,                 1.1105,                 1.3875,             0.00013536,             0.00013536,             0.00013536
                     22,                0.83051,                0.78414,                 1.1885,                0.41471,                0.38784,                0.37326,                0.27555,                 1.2024,                 1.1004,                 1.3788,             0.00013107,             0.00013107,             0.00013107
                     23,                0.82942,                0.76875,                 1.1828,                0.38759,                0.40611,                 0.3617,                0.26068,                  1.198,                 1.0872,                 1.3758,             0.00012677,             0.00012677,             0.00012677
                     24,                0.81496,                0.75268,                 1.1795,                0.51853,                  0.356,                0.36911,                0.27071,                 1.2085,                 1.0893,                 1.3749,             0.00012247,             0.00012247,             0.00012247
                     25,                0.82372,                0.73564,                 1.1778,                0.51623,                0.30935,                0.37142,                0.27447,                 1.1967,                 1.1231,                  1.378,             0.00011818,             0.00011818,             0.00011818
                     26,                0.81312,                0.72778,                 1.1766,                0.52614,                 0.3209,                0.37432,                 0.2803,                 1.1738,                 1.0607,                 1.3545,             0.00011388,             0.00011388,             0.00011388
                     27,                0.79851,                0.70612,                 1.1685,                0.56691,                0.32073,                0.37021,                0.27427,                 1.2145,                 1.0834,                 1.3825,             0.00010959,             0.00010959,             0.00010959
                     28,                0.80379,                0.70296,                 1.1688,                0.62033,                0.30783,                0.35911,                0.26995,                 1.1892,                 1.1009,                 1.3746,             0.00010529,             0.00010529,             0.00010529
                     29,                0.79155,                0.69519,                  1.164,                0.51083,                0.31922,                0.36243,                0.27061,                 1.1973,                 1.1009,                 1.3831,             0.00010099,             0.00010099,             0.00010099
                     30,                0.78932,                 0.6809,                 1.1598,                0.55028,                0.31162,                0.36938,                0.27945,                 1.1967,                 1.0829,                 1.3737,             9.6695e-05,             9.6695e-05,             9.6695e-05
                     31,                0.78074,                0.66994,                 1.1566,                 0.4442,                0.36489,                0.37975,                0.28147,                 1.1748,                 1.0589,                 1.3485,             9.2399e-05,             9.2399e-05,             9.2399e-05
                     32,                0.77557,                0.65663,                 1.1498,                 0.4406,                0.33387,                 0.3585,                0.26878,                 1.1697,                 1.0672,                 1.3649,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     33,                0.76827,                0.64908,                 1.1472,                0.32456,                0.41711,                 0.3732,                0.28379,                 1.1913,                 1.0845,                 1.3858,             8.3805e-05,             8.3805e-05,             8.3805e-05
                     34,                0.76681,                0.64236,                 1.1453,                0.48934,                0.36377,                0.38762,                0.29541,                 1.2017,                 1.0666,                 1.3912,             7.9509e-05,             7.9509e-05,             7.9509e-05
                     35,                0.76005,                 0.6278,                 1.1393,                0.49171,                0.36804,                0.36965,                0.27934,                  1.202,                 1.0618,                 1.3914,             7.5212e-05,             7.5212e-05,             7.5212e-05
                     36,                0.74166,                0.60437,                 1.1269,                0.52713,                 0.3444,                 0.3946,                0.29854,                 1.2035,                 1.0766,                  1.403,             7.0916e-05,             7.0916e-05,             7.0916e-05
                     37,                0.74337,                0.60988,                 1.1299,                0.32991,                0.37151,                 0.3873,                0.28789,                 1.1979,                 1.0631,                  1.396,             6.6619e-05,             6.6619e-05,             6.6619e-05
                     38,                0.74115,                0.60414,                 1.1321,                0.49846,                0.31312,                0.37008,                0.27908,                 1.1913,                 1.0829,                 1.3932,             6.2322e-05,             6.2322e-05,             6.2322e-05
                     39,                0.73598,                0.58965,                 1.1279,                0.47422,                0.36331,                0.38749,                0.29159,                 1.1952,                 1.0668,                 1.3973,             5.8026e-05,             5.8026e-05,             5.8026e-05
                     40,                  0.731,                0.58465,                  1.124,                0.45166,                0.34544,                0.37104,                 0.2778,                 1.2042,                 1.0735,                 1.4109,             5.3729e-05,             5.3729e-05,             5.3729e-05
                     41,                0.68763,                0.41012,                 1.1337,                0.48772,                  0.326,                0.35485,                0.26554,                 1.2124,                 1.0779,                 1.4204,             4.9433e-05,             4.9433e-05,             4.9433e-05
                     42,                0.67003,                0.38317,                 1.1205,                 0.5754,                0.31735,                0.36927,                0.27465,                 1.2241,                 1.0796,                 1.4269,             4.5136e-05,             4.5136e-05,             4.5136e-05
                     43,                0.65589,                0.36802,                 1.1005,                0.44092,                0.34302,                0.37232,                0.28026,                 1.2086,                 1.0628,                 1.4059,             4.0839e-05,             4.0839e-05,             4.0839e-05
                     44,                0.64927,                0.36222,                 1.1033,                 0.4769,                0.35464,                0.37505,                0.27969,                  1.207,                 1.0514,                 1.4179,             3.6543e-05,             3.6543e-05,             3.6543e-05
                     45,                0.63765,                0.34963,                 1.0946,                0.49043,                  0.347,                0.37246,                0.27987,                 1.2092,                 1.0646,                 1.4234,             3.2246e-05,             3.2246e-05,             3.2246e-05
                     46,                0.63131,                0.34279,                 1.0912,                0.53811,                0.32483,                0.36825,                0.27728,                  1.212,                 1.0891,                 1.4289,              2.795e-05,              2.795e-05,              2.795e-05
                     47,                0.61799,                0.33171,                 1.0801,                0.55042,                0.33117,                0.38399,                0.28823,                 1.2147,                 1.0735,                 1.4281,             2.3653e-05,             2.3653e-05,             2.3653e-05
                     48,                0.61385,                0.32771,                 1.0807,                 0.5296,                0.33714,                0.39055,                0.29806,                 1.2115,                 1.0597,                 1.4345,             1.9356e-05,             1.9356e-05,             1.9356e-05
                     49,                0.60562,                0.32242,                 1.0705,                0.54454,                0.33207,                0.39424,                0.29866,                 1.2101,                 1.0483,                 1.4324,              1.506e-05,              1.506e-05,              1.506e-05
                     50,                0.60062,                0.31526,                 1.0677,                0.54136,                0.33483,                0.39354,                0.29732,                 1.2117,                  1.048,                 1.4304,             1.0763e-05,             1.0763e-05,             1.0763e-05
