                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1356,                 2.4021,                 1.4064,                0.61821,                0.26281,                0.25673,                0.18246,                  1.234,                  1.535,                 1.3871,             7.2232e-05,             7.2232e-05,             7.2232e-05
                      2,                 1.0223,                 1.5388,                 1.3074,                0.69244,                0.26836,                0.30022,                0.20694,                 1.2361,                 1.3253,                 1.4044,              0.0001417,              0.0001417,              0.0001417
                      3,                 1.0169,                 1.4435,                 1.3103,                0.54934,                0.27203,                0.28944,                0.19855,                 1.2891,                 1.3627,                 1.4624,             0.00020831,             0.00020831,             0.00020831
                      4,                0.99484,                 1.3577,                 1.3001,                0.60414,                0.28523,                0.26966,                0.18459,                 1.2528,                 1.3383,                 1.4344,             0.00020411,             0.00020411,             0.00020411
                      5,                0.97845,                 1.2742,                 1.2904,                0.64756,                0.24495,                0.28767,                0.19854,                 1.2863,                  1.301,                 1.4462,             0.00020411,             0.00020411,             0.00020411
                      6,                0.96974,                  1.237,                  1.284,                0.66172,                0.27351,                0.31942,                0.22628,                 1.3143,                 1.1773,                 1.4766,             0.00019981,             0.00019981,             0.00019981
                      7,                0.95546,                 1.1773,                 1.2803,                 0.6611,                0.30719,                0.32818,                0.23253,                 1.2625,                   1.18,                 1.4481,             0.00019552,             0.00019552,             0.00019552
                      8,                0.94619,                 1.1333,                 1.2688,                0.62811,                0.30968,                0.32475,                0.23383,                 1.2336,                 1.1926,                 1.4316,             0.00019122,             0.00019122,             0.00019122
                      9,                0.92568,                 1.0747,                 1.2577,                 0.5258,                0.31618,                0.33581,                0.24004,                 1.2457,                 1.1274,                 1.4094,             0.00018692,             0.00018692,             0.00018692
                     10,                0.92518,                 1.0477,                 1.2512,                0.48769,                0.34286,                0.33784,                0.24115,                 1.2648,                 1.2094,                 1.4366,             0.00018263,             0.00018263,             0.00018263
                     11,                0.90713,                 1.0206,                 1.2433,                0.52807,                0.32945,                0.33088,                0.23629,                 1.2583,                 1.1273,                 1.4367,             0.00017833,             0.00017833,             0.00017833
